date,total_doses_administered,New doses,New dose 7 day average,total_individuals_at_least_one,% of pop one dose,total_individuals_fully_vaccinated,% of pop two doses,total_individuals_3doses,% of pop three doses,Total Cases,New Cases,New Cases 7 Day Average,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,Hospitial + ICU,Hospital + ICU average,Email sent?
2022-01-01,,,,,,,,,,,,,,,,,
2021-12-31,27208675.0,,,12208736.0,,11410550.0,,3571791.0,,756361.0,,,1144.0,205.0,,,
2021-12-30,27012866.0,,,12197443.0,,11404979.0,,3392882.0,,739648.0,,,965.0,200.0,,,
2021-12-29,26815586.0,,,12186402.0,,11400095.0,,3211538.0,,725841.0,,,726.0,190.0,,,
2021-12-28,26639237.0,,,12175396.0,,11394756.0,,3051672.0,,715405.0,,,491.0,187.0,,,
2021-12-27,26494532.0,,,12167859.0,,11390166.0,,2919190.0,,706580.0,,,480.0,176.0,,,
2021-12-26,26449368.0,,,12166183.0,,11389124.0,,2876761.0,,697162.0,,,373.0,168.0,,,
2021-12-25,26435461.0,,,12165681.0,,11388860.0,,2863624.0,,687336.0,,,510.0,167.0,,,
2021-12-24,26343050.0,,,12160489.0,,11383811.0,,2770783.0,,676924.0,,,508.0,164.0,,,
2021-12-23,26113307.0,,,12148870.0,,11379811.0,,2567601.0,,667353.0,,,440.0,169.0,,,
2021-12-22,25860049.0,,,12134992.0,,11373519.0,,2334698.0,,661563.0,,,420.0,168.0,,,
2021-12-21,25629533.0,206595.0,149349.0,12119220.0,0.8214,11367446.0,0.7704,3571791.0,,657180.0,3453.0,"3,153",412.0,165.0,577.0,503.142857142857,
2021-12-20,25422938.0,107158.0,134035.0,12105031.0,0.8204,11362551.0,0.7701,3571791.0,,653727.0,3784.0,"2,863",284.0,164.0,448.0,498.857142857143,
2021-12-19,25315780.0,140827.0,123722.0,12094044.0,0.8196,11359730.0,0.7699,3571791.0,,649943.0,4177.0,"2,542",283.0,159.0,442.0,494.0,
2021-12-18,25174953.0,168923.0,112450.0,12074997.0,0.8184,11355707.0,0.7696,3571791.0,,645766.0,3301.0,"2,156",382.0,154.0,536.0,485.142857142857,
2021-12-17,25006030.0,156525.0,100251.0,12060658.0,0.8174,11350356.0,0.7692,3571791.0,,642465.0,3124.0,"1,914",358.0,157.0,515.0,475.571428571429,
2021-12-16,24849505.0,137803.0,89089.0,12047096.0,0.8165,11345168.0,0.7689,3571791.0,,639341.0,2421.0,"1,676",328.0,165.0,493.0,467.714285714286,
2021-12-15,24711702.0,127613.0,80130.0,12033585.0,0.8155,11340162.0,0.7686,3571791.0,,636920.0,1808.0,"1,514",357.0,154.0,511.0,463.571428571429,
2021-12-14,24584089.0,99397.0,72518.0,12019901.0,0.8146,11334812.0,0.7682,3571791.0,,635112.0,1429.0,"1,400",385.0,162.0,547.0,460.285714285714,
2021-12-13,24484692.0,34966.0,66980.0,12010172.0,0.81,11330544.0,0.7679,3571791.0,,633683.0,1536.0,"1,328",253.0,161.0,414.0,454.285714285714,
2021-12-12,24449726.0,61920.0,67624.0,11998141.0,0.8131,11327927.0,0.7677,3571791.0,,632147.0,1476.0,"1,236",222.0,158.0,380.0,438.714285714286,
2021-12-11,24387806.0,83534.0,67776.0,11974499.0,0.8115,11323370.0,0.7674,3571791.0,,630671.0,1607.0,"1,194",323.0,146.0,469.0,427.857142857143,
2021-12-10,24304272.0,78390.0,67400.0,11953275.0,0.8101,11316878.0,0.77,3571791.0,,629064.0,1453.0,"1,115",309.0,151.0,460.0,424.285714285714,
2021-12-09,24225882.0,75093.0,168632.0,11934401.0,0.8088,11311453.0,0.7666,3571791.0,,627611.0,1290.0,"1,055",309.0,155.0,464.0,420.285714285714,
2021-12-08,24150789.0,74325.0,167536.0,11915256.0,0.8075,11306219.0,0.7663,3571791.0,,626321.0,1009.0,"1,119",333.0,155.0,488.0,417.714285714286,
2021-12-07,24076464.0,60631.0,144875.0,11895203.0,0.8062,11300708.0,0.7659,3571791.0,,625312.0,928.0,"1,036",340.0,165.0,505.0,412.428571428571,
2021-12-06,24015833.0,39472.0,140102.0,11879574.0,0.8051,11295706.0,0.7655,3571791.0,,624384.0,887.0,"1,019",137.0,168.0,305.0,400.142857142857,
2021-12-05,23976361.0,62989.0,139324.0,11859860.0,0.8038,11292723.0,0.7653,3571791.0,,623497.0,1184.0,"1,028",140.0,164.0,304.0,398.428571428571,
2021-12-04,23913372.0,80898.0,135159.0,11827387.0,0.8016,11288025.0,0.77,3571791.0,,622313.0,1053.0,987,284.0,160.0,444.0,391.714285714286,
2021-12-03,23832474.0,787013.0,127525.0,11799063.0,0.7997,11281481.0,0.7646,3571791.0,,621260.0,1031.0,971,286.0,146.0,432.0,383.714285714286,
